Unit,OutSet,UpdatedOutSet
r0 := @parameter0: java.lang.String[],[],[]
i0 = staticinvoke <de.visuflow.analyzeMe.ex2.TargetClass2: int getRandomInt()>(),[],[]
$r1 = <java.lang.System: java.io.PrintStream out>,[],[]
virtualinvoke $r1.<java.io.PrintStream: void println(int)>(i0),[],[]
if i0 <= 0 goto (branch),[],[]
$r5 = <java.lang.System: java.io.PrintStream out>,[],[]
"virtualinvoke $r5.<java.io.PrintStream: void println(java.lang.String)>(""Hello"")",[],[]
goto [?= (branch)],[],[]
goto [?= (branch)],[],[]
if i0 <= 50 goto $r2 = <java.lang.System: java.io.PrintStream out>,[],[]
$r4 = <java.lang.System: java.io.PrintStream out>,[],[]
"virtualinvoke $r4.<java.io.PrintStream: void println(java.lang.String)>(""World"")",[],[]
goto [?= (branch)],[],[]
goto [?= (branch)],[],[]
$r2 = <java.lang.System: java.io.PrintStream out>,[],[]
"virtualinvoke $r2.<java.io.PrintStream: void println(java.lang.String)>(""Hello World"")",[],[]
if i0 >= 100 goto return,[],[]
if i0 <= 50 goto return,[],[]
$r3 = <java.lang.System: java.io.PrintStream out>,[],[]
"virtualinvoke $r3.<java.io.PrintStream: void println(java.lang.String)>(""Hello Soot"")",[],[]
return,[],[]
